model_url,downloads,downloadsAllTime,organization,model_name,date
taide/b.1.0.0,0,828,taide,b.1.0.0,2025-08-24
taide/b.11.0.0,0,1426,taide,b.11.0.0,2025-08-24
taide/e.1.1.0,0,69,taide,e.1.1.0,2025-08-24
taide/a.2.0.0,0,131,taide,a.2.0.0,2025-08-24
taide/TAIDE-LX-7B,48,14297,taide,TAIDE-LX-7B,2025-08-24
taide/TAIDE-LX-7B-Chat,276,66207,taide,TAIDE-LX-7B-Chat,2025-08-24
taide/TAIDE-LX-7B-Chat-4bit,22,3017,taide,TAIDE-LX-7B-Chat-4bit,2025-08-24
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1,348,114979,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1,2025-08-24
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,76,5144,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,2025-08-24
taide/llava_llama3_8b_clip336_e,0,115,taide,llava_llama3_8b_clip336_e,2025-08-24
taide/Llama-3.1-TAIDE-LX-8B-Chat,4689,18762,taide,Llama-3.1-TAIDE-LX-8B-Chat,2025-08-24
taide/Gemma-3-TAIDE-12b-Chat,10,10,taide,Gemma-3-TAIDE-12b-Chat,2025-08-24
