model_url,downloads,downloadsAllTime,organization,model_name,date
taide/b.1.0.0,0,828,taide,b.1.0.0,2024-08-01
taide/b.11.0.0,302,1398,taide,b.11.0.0,2024-08-01
taide/e.1.1.0,5,69,taide,e.1.1.0,2024-08-01
taide/a.2.0.0,0,131,taide,a.2.0.0,2024-08-01
taide/TAIDE-LX-7B,4063,7642,taide,TAIDE-LX-7B,2024-08-01
taide/TAIDE-LX-7B-Chat,3495,26998,taide,TAIDE-LX-7B-Chat,2024-08-01
taide/TAIDE-LX-7B-Chat-4bit,148,1628,taide,TAIDE-LX-7B-Chat-4bit,2024-08-01
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1,27164,55931,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1,2024-08-01
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,324,2426,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,2024-08-01
