model_url,downloads,downloadsAllTime,organization,model_name,date
taide/Gemma-3-TAIDE-12b-Chat-2602,372,372,taide,Gemma-3-TAIDE-12b-Chat-2602,2026-03-09
taide/b.1.0.0,0,828,taide,b.1.0.0,2026-03-09
taide/b.11.0.0,0,1426,taide,b.11.0.0,2026-03-09
taide/e.1.1.0,0,69,taide,e.1.1.0,2026-03-09
taide/a.2.0.0,0,131,taide,a.2.0.0,2026-03-09
taide/TAIDE-LX-7B,45,14557,taide,TAIDE-LX-7B,2026-03-09
taide/TAIDE-LX-7B-Chat,8,67799,taide,TAIDE-LX-7B-Chat,2026-03-09
taide/TAIDE-LX-7B-Chat-4bit,17,3201,taide,TAIDE-LX-7B-Chat-4bit,2026-03-09
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1,4270,123892,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1,2026-03-09
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,22,5445,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,2026-03-09
taide/Llama-3.1-TAIDE-LX-8B-Chat,728,27090,taide,Llama-3.1-TAIDE-LX-8B-Chat,2026-03-09
taide/Gemma-3-TAIDE-12b-Chat,340,11695,taide,Gemma-3-TAIDE-12b-Chat,2026-03-09
