model_url,downloads,downloadsAllTime,organization,model_name,date
taide/Gemma-3-TAIDE-12b-Chat,1763,1763,taide,Gemma-3-TAIDE-12b-Chat,2025-09-18
taide/b.1.0.0,0,828,taide,b.1.0.0,2025-09-18
taide/b.11.0.0,0,1426,taide,b.11.0.0,2025-09-18
taide/e.1.1.0,0,69,taide,e.1.1.0,2025-09-18
taide/a.2.0.0,0,131,taide,a.2.0.0,2025-09-18
taide/TAIDE-LX-7B,27,14320,taide,TAIDE-LX-7B,2025-09-18
taide/TAIDE-LX-7B-Chat,184,66339,taide,TAIDE-LX-7B-Chat,2025-09-18
taide/TAIDE-LX-7B-Chat-4bit,37,3053,taide,TAIDE-LX-7B-Chat-4bit,2025-09-18
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1,171,115143,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1,2025-09-18
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,51,5169,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,2025-09-18
taide/llava_llama3_8b_clip336_e,0,115,taide,llava_llama3_8b_clip336_e,2025-09-18
taide/Llama-3.1-TAIDE-LX-8B-Chat,1774,20229,taide,Llama-3.1-TAIDE-LX-8B-Chat,2025-09-18
