model_url,downloads,downloadsAllTime,organization,model_name,date
taide/b.1.0.0,15,828,taide,b.1.0.0,2024-07-01
taide/b.11.0.0,5,1096,taide,b.11.0.0,2024-07-01
taide/e.1.1.0,0,64,taide,e.1.1.0,2024-07-01
taide/a.2.0.0,0,131,taide,a.2.0.0,2024-07-01
taide/TAIDE-LX-7B,1098,3559,taide,TAIDE-LX-7B,2024-07-01
taide/TAIDE-LX-7B-Chat,14122,23488,taide,TAIDE-LX-7B-Chat,2024-07-01
taide/TAIDE-LX-7B-Chat-4bit,208,1480,taide,TAIDE-LX-7B-Chat-4bit,2024-07-01
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1,11808,28615,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1,2024-07-01
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,412,2099,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,2024-07-01
