model_url,downloads,downloadsAllTime,organization,model_name,date
taide/Llama-3.1-TAIDE-LX-8B-Chat,676,30521,taide,Llama-3.1-TAIDE-LX-8B-Chat,2026-07-08
taide/b.1.0.0,0,828,taide,b.1.0.0,2026-07-08
taide/b.11.0.0,0,1426,taide,b.11.0.0,2026-07-08
taide/e.1.1.0,0,69,taide,e.1.1.0,2026-07-08
taide/a.2.0.0,0,131,taide,a.2.0.0,2026-07-08
taide/TAIDE-LX-7B,16,15274,taide,TAIDE-LX-7B,2026-07-08
taide/TAIDE-LX-7B-Chat,129,68391,taide,TAIDE-LX-7B-Chat,2026-07-08
taide/TAIDE-LX-7B-Chat-4bit,14,3326,taide,TAIDE-LX-7B-Chat-4bit,2026-07-08
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1,950,127289,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1,2026-07-08
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,13,5515,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,2026-07-08
taide/Gemma-3-TAIDE-12b-Chat,93,12457,taide,Gemma-3-TAIDE-12b-Chat,2026-07-08
taide/Gemma-3-TAIDE-12b-Chat-2602,1824,6782,taide,Gemma-3-TAIDE-12b-Chat-2602,2026-07-08
taide/embeddinggemma-GTAIDE-300m-2605,145,145,taide,embeddinggemma-GTAIDE-300m-2605,2026-07-08
