model_url,downloads,downloadsAllTime,organization,model_name,date
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1,4922,105407,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1,2025-02-05
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,172,4455,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,2025-02-05
taide/TAIDE-LX-7B,215,12816,taide,TAIDE-LX-7B,2025-02-05
taide/TAIDE-LX-7B-Chat,909,61442,taide,TAIDE-LX-7B-Chat,2025-02-05
taide/TAIDE-LX-7B-Chat-4bit,311,2728,taide,TAIDE-LX-7B-Chat-4bit,2025-02-05
taide/b.1.0.0,0,828,taide,b.1.0.0,2025-02-05
taide/b.11.0.0,0,1426,taide,b.11.0.0,2025-02-05
taide/e.1.1.0,0,69,taide,e.1.1.0,2025-02-05
taide/a.2.0.0,0,131,taide,a.2.0.0,2025-02-05
taide/llava_llama3_8b_clip336_e,0,115,taide,llava_llama3_8b_clip336_e,2025-02-05
