model_url,downloads,downloadsAllTime,organization,model_name,date
taide/b.1.0.0,0,828,taide,b.1.0.0,2026-01-06
taide/b.11.0.0,0,1426,taide,b.11.0.0,2026-01-06
taide/e.1.1.0,0,69,taide,e.1.1.0,2026-01-06
taide/a.2.0.0,0,131,taide,a.2.0.0,2026-01-06
taide/TAIDE-LX-7B,39,14486,taide,TAIDE-LX-7B,2026-01-06
taide/TAIDE-LX-7B-Chat,82,67391,taide,TAIDE-LX-7B-Chat,2026-01-06
taide/TAIDE-LX-7B-Chat-4bit,24,3147,taide,TAIDE-LX-7B-Chat-4bit,2026-01-06
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1,337,119246,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1,2026-01-06
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,28,5368,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,2026-01-06
taide/Llama-3.1-TAIDE-LX-8B-Chat,471,25979,taide,Llama-3.1-TAIDE-LX-8B-Chat,2026-01-06
taide/Gemma-3-TAIDE-12b-Chat,745,5519,taide,Gemma-3-TAIDE-12b-Chat,2026-01-06
