model_url,downloads,downloadsAllTime,organization,model_name,date
taide/TAIDE-LX-7B-Chat-4bit,40,2896,taide,TAIDE-LX-7B-Chat-4bit,2025-05-07
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,102,4911,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,2025-05-07
taide/Llama-3.1-TAIDE-LX-8B-Chat,2770,6553,taide,Llama-3.1-TAIDE-LX-8B-Chat,2025-05-07
taide/b.1.0.0,0,828,taide,b.1.0.0,2025-05-07
taide/b.11.0.0,0,1426,taide,b.11.0.0,2025-05-07
taide/e.1.1.0,0,69,taide,e.1.1.0,2025-05-07
taide/a.2.0.0,0,131,taide,a.2.0.0,2025-05-07
taide/TAIDE-LX-7B,558,13844,taide,TAIDE-LX-7B,2025-05-07
taide/TAIDE-LX-7B-Chat,591,63810,taide,TAIDE-LX-7B-Chat,2025-05-07
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1,1549,111767,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1,2025-05-07
taide/llava_llama3_8b_clip336_e,0,115,taide,llava_llama3_8b_clip336_e,2025-05-07
