model_url,downloads,downloadsAllTime,organization,model_name,date
taide/b.1.0.0,0,828,taide,b.1.0.0,2026-08-06
taide/b.11.0.0,0,1426,taide,b.11.0.0,2026-08-06
taide/e.1.1.0,0,69,taide,e.1.1.0,2026-08-06
taide/a.2.0.0,0,131,taide,a.2.0.0,2026-08-06
taide/TAIDE-LX-7B,26,15300,taide,TAIDE-LX-7B,2026-08-06
taide/TAIDE-LX-7B-Chat,183,68574,taide,TAIDE-LX-7B-Chat,2026-08-06
taide/TAIDE-LX-7B-Chat-4bit,14,3340,taide,TAIDE-LX-7B-Chat-4bit,2026-08-06
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1,301,127590,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1,2026-08-06
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,103,5626,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,2026-08-06
taide/Llama-3.1-TAIDE-LX-8B-Chat,17417,48259,taide,Llama-3.1-TAIDE-LX-8B-Chat,2026-08-06
taide/Gemma-3-TAIDE-12b-Chat,77,12554,taide,Gemma-3-TAIDE-12b-Chat,2026-08-06
taide/Gemma-3-TAIDE-12b-Chat-2602,1897,8726,taide,Gemma-3-TAIDE-12b-Chat-2602,2026-08-06
taide/embeddinggemma-GTAIDE-300m-2605,1270,1448,taide,embeddinggemma-GTAIDE-300m-2605,2026-08-06
