model_url,downloads,downloadsAllTime,organization,model_name,date
taide/Llama-3.1-TAIDE-LX-8B-Chat,1975,4052,taide,Llama-3.1-TAIDE-LX-8B-Chat,2025-04-13
taide/TAIDE-LX-7B-Chat-4bit,37,2860,taide,TAIDE-LX-7B-Chat-4bit,2025-04-13
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,99,4827,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,2025-04-13
taide/b.1.0.0,0,828,taide,b.1.0.0,2025-04-13
taide/b.11.0.0,0,1426,taide,b.11.0.0,2025-04-13
taide/e.1.1.0,0,69,taide,e.1.1.0,2025-04-13
taide/a.2.0.0,0,131,taide,a.2.0.0,2025-04-13
taide/TAIDE-LX-7B,338,13358,taide,TAIDE-LX-7B,2025-04-13
taide/TAIDE-LX-7B-Chat,527,63331,taide,TAIDE-LX-7B-Chat,2025-04-13
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1,1675,110514,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1,2025-04-13
taide/llava_llama3_8b_clip336_e,0,115,taide,llava_llama3_8b_clip336_e,2025-04-13
