model_url,downloads,downloadsAllTime,organization,model_name,date
taide/b.1.0.0,0,828,taide,b.1.0.0,2026-06-01
taide/b.11.0.0,0,1426,taide,b.11.0.0,2026-06-01
taide/e.1.1.0,0,69,taide,e.1.1.0,2026-06-01
taide/a.2.0.0,0,131,taide,a.2.0.0,2026-06-01
taide/TAIDE-LX-7B,512,15256,taide,TAIDE-LX-7B,2026-06-01
taide/TAIDE-LX-7B-Chat,188,68260,taide,TAIDE-LX-7B-Chat,2026-06-01
taide/TAIDE-LX-7B-Chat-4bit,59,3311,taide,TAIDE-LX-7B-Chat-4bit,2026-06-01
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1,765,126194,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1,2026-06-01
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,14,5502,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,2026-06-01
taide/Llama-3.1-TAIDE-LX-8B-Chat,1289,29529,taide,Llama-3.1-TAIDE-LX-8B-Chat,2026-06-01
taide/Gemma-3-TAIDE-12b-Chat,331,12342,taide,Gemma-3-TAIDE-12b-Chat,2026-06-01
taide/Gemma-3-TAIDE-12b-Chat-2602,1025,4246,taide,Gemma-3-TAIDE-12b-Chat-2602,2026-06-01
