model_url,downloads,downloadsAllTime,organization,model_name,date
taide/Gemma-3-TAIDE-12b-Chat,1141,4717,taide,Gemma-3-TAIDE-12b-Chat,2025-12-08
taide/b.1.0.0,0,828,taide,b.1.0.0,2025-12-08
taide/b.11.0.0,0,1426,taide,b.11.0.0,2025-12-08
taide/e.1.1.0,0,69,taide,e.1.1.0,2025-12-08
taide/a.2.0.0,0,131,taide,a.2.0.0,2025-12-08
taide/TAIDE-LX-7B,73,14447,taide,TAIDE-LX-7B,2025-12-08
taide/TAIDE-LX-7B-Chat,290,67303,taide,TAIDE-LX-7B-Chat,2025-12-08
taide/TAIDE-LX-7B-Chat-4bit,18,3123,taide,TAIDE-LX-7B-Chat-4bit,2025-12-08
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1,3073,118896,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1,2025-12-08
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,37,5340,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,2025-12-08
taide/Llama-3.1-TAIDE-LX-8B-Chat,3281,25499,taide,Llama-3.1-TAIDE-LX-8B-Chat,2025-12-08
