model_url,downloads,downloadsAllTime,organization,model_name,date
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1,319,119574,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1,2026-02-06
taide/b.1.0.0,0,828,taide,b.1.0.0,2026-02-06
taide/b.11.0.0,0,1426,taide,b.11.0.0,2026-02-06
taide/e.1.1.0,0,69,taide,e.1.1.0,2026-02-06
taide/a.2.0.0,0,131,taide,a.2.0.0,2026-02-06
taide/TAIDE-LX-7B,26,14512,taide,TAIDE-LX-7B,2026-02-06
taide/TAIDE-LX-7B-Chat,383,67774,taide,TAIDE-LX-7B-Chat,2026-02-06
taide/TAIDE-LX-7B-Chat-4bit,36,3183,taide,TAIDE-LX-7B-Chat-4bit,2026-02-06
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,40,5415,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,2026-02-06
taide/Llama-3.1-TAIDE-LX-8B-Chat,313,26309,taide,Llama-3.1-TAIDE-LX-8B-Chat,2026-02-06
taide/Gemma-3-TAIDE-12b-Chat,5816,11339,taide,Gemma-3-TAIDE-12b-Chat,2026-02-06
