model_url,downloads,downloadsAllTime,organization,model_name,date
taide/Gemma-3-TAIDE-12b-Chat-2602,1085,3365,taide,Gemma-3-TAIDE-12b-Chat-2602,2026-05-12
taide/Llama-3.1-TAIDE-LX-8B-Chat,602,28497,taide,Llama-3.1-TAIDE-LX-8B-Chat,2026-05-12
taide/b.1.0.0,0,828,taide,b.1.0.0,2026-05-12
taide/b.11.0.0,0,1426,taide,b.11.0.0,2026-05-12
taide/e.1.1.0,0,69,taide,e.1.1.0,2026-05-12
taide/a.2.0.0,0,131,taide,a.2.0.0,2026-05-12
taide/TAIDE-LX-7B,102,14785,taide,TAIDE-LX-7B,2026-05-12
taide/TAIDE-LX-7B-Chat,135,68081,taide,TAIDE-LX-7B-Chat,2026-05-12
taide/TAIDE-LX-7B-Chat-4bit,57,3281,taide,TAIDE-LX-7B-Chat-4bit,2026-05-12
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1,777,125645,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1,2026-05-12
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,8,5492,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,2026-05-12
taide/Gemma-3-TAIDE-12b-Chat,260,12132,taide,Gemma-3-TAIDE-12b-Chat,2026-05-12
