model_url,downloads,downloadsAllTime,organization,model_name,date
taide/TAIDE-LX-7B-Chat-4bit,19,3359,taide,TAIDE-LX-7B-Chat-4bit,2026-09-02
taide/Gemma-3-TAIDE-12b-Chat-2602,41212,49922,taide,Gemma-3-TAIDE-12b-Chat-2602,2026-09-02
taide/b.1.0.0,0,828,taide,b.1.0.0,2026-09-02
taide/b.11.0.0,0,1426,taide,b.11.0.0,2026-09-02
taide/e.1.1.0,0,69,taide,e.1.1.0,2026-09-02
taide/a.2.0.0,0,131,taide,a.2.0.0,2026-09-02
taide/TAIDE-LX-7B,69,15369,taide,TAIDE-LX-7B,2026-09-02
taide/TAIDE-LX-7B-Chat,402,68976,taide,TAIDE-LX-7B-Chat,2026-09-02
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1,313,127890,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1,2026-09-02
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,14,5640,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,2026-09-02
taide/Llama-3.1-TAIDE-LX-8B-Chat,1317,49556,taide,Llama-3.1-TAIDE-LX-8B-Chat,2026-09-02
taide/Gemma-3-TAIDE-12b-Chat,48,12598,taide,Gemma-3-TAIDE-12b-Chat,2026-09-02
taide/embeddinggemma-GTAIDE-300m-2605,2076,3486,taide,embeddinggemma-GTAIDE-300m-2605,2026-09-02
