model_url,downloads,downloadsAllTime,organization,model_name,date
taide/Gemma-3-TAIDE-12b-Chat,1369,3432,taide,Gemma-3-TAIDE-12b-Chat,2025-10-30
taide/TAIDE-LX-7B-Chat,437,66985,taide,TAIDE-LX-7B-Chat,2025-10-30
taide/TAIDE-LX-7B-Chat-4bit,29,3094,taide,TAIDE-LX-7B-Chat-4bit,2025-10-30
taide/b.1.0.0,0,828,taide,b.1.0.0,2025-10-30
taide/b.11.0.0,0,1426,taide,b.11.0.0,2025-10-30
taide/e.1.1.0,0,69,taide,e.1.1.0,2025-10-30
taide/a.2.0.0,0,131,taide,a.2.0.0,2025-10-30
taide/TAIDE-LX-7B,42,14365,taide,TAIDE-LX-7B,2025-10-30
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1,346,115642,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1,2025-10-30
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,92,5270,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,2025-10-30
taide/llava_llama3_8b_clip336_e,0,115,taide,llava_llama3_8b_clip336_e,2025-10-30
taide/Llama-3.1-TAIDE-LX-8B-Chat,1339,21937,taide,Llama-3.1-TAIDE-LX-8B-Chat,2025-10-30
