model_url,downloads,downloadsAllTime,organization,model_name,date
taide/Gemma-3-TAIDE-12b-Chat,111,11794,taide,Gemma-3-TAIDE-12b-Chat,2026-04-01
taide/Gemma-3-TAIDE-12b-Chat-2602,1627,1735,taide,Gemma-3-TAIDE-12b-Chat-2602,2026-04-01
taide/b.1.0.0,0,828,taide,b.1.0.0,2026-04-01
taide/b.11.0.0,0,1426,taide,b.11.0.0,2026-04-01
taide/e.1.1.0,0,69,taide,e.1.1.0,2026-04-01
taide/a.2.0.0,0,131,taide,a.2.0.0,2026-04-01
taide/TAIDE-LX-7B,113,14648,taide,TAIDE-LX-7B,2026-04-01
taide/TAIDE-LX-7B-Chat,87,67883,taide,TAIDE-LX-7B-Chat,2026-04-01
taide/TAIDE-LX-7B-Chat-4bit,27,3223,taide,TAIDE-LX-7B-Chat-4bit,2026-04-01
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1,4444,124412,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1,2026-04-01
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,20,5464,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,2026-04-01
taide/Llama-3.1-TAIDE-LX-8B-Chat,509,27512,taide,Llama-3.1-TAIDE-LX-8B-Chat,2026-04-01
