model_url,downloads,downloadsAllTime,organization,model_name,date
taide/Llama-3.1-TAIDE-LX-8B-Chat,3139,10020,taide,Llama-3.1-TAIDE-LX-8B-Chat,2025-06-10
taide/b.1.0.0,0,828,taide,b.1.0.0,2025-06-10
taide/b.11.0.0,0,1426,taide,b.11.0.0,2025-06-10
taide/e.1.1.0,0,69,taide,e.1.1.0,2025-06-10
taide/a.2.0.0,0,131,taide,a.2.0.0,2025-06-10
taide/TAIDE-LX-7B,222,14088,taide,TAIDE-LX-7B,2025-06-10
taide/TAIDE-LX-7B-Chat,776,64609,taide,TAIDE-LX-7B-Chat,2025-06-10
taide/TAIDE-LX-7B-Chat-4bit,39,2945,taide,TAIDE-LX-7B-Chat-4bit,2025-06-10
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1,446,112301,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1,2025-06-10
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,72,4993,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,2025-06-10
taide/llava_llama3_8b_clip336_e,0,115,taide,llava_llama3_8b_clip336_e,2025-06-10
